日期,颱風編號,颱風生成時間,颱風消散時間,海上警報,陸上警報,近臺強度,侵臺路徑分類
2021/3/31,無資料,無資料,無資料,0,0,無資料,無資料
2021/3/30,無資料,無資料,無資料,0,0,無資料,無資料
2021/3/29,無資料,無資料,無資料,0,0,無資料,無資料
2021/3/28,無資料,無資料,無資料,0,0,無資料,無資料
2021/3/27,無資料,無資料,無資料,0,0,無資料,無資料
2021/3/26,無資料,無資料,無資料,0,0,無資料,無資料
2021/3/25,無資料,無資料,無資料,0,0,無資料,無資料
2021/3/24,無資料,無資料,無資料,0,0,無資料,無資料
2021/3/23,無資料,無資料,無資料,0,0,無資料,無資料
2021/3/22,無資料,無資料,無資料,0,0,無資料,無資料
2021/3/21,無資料,無資料,無資料,0,0,無資料,無資料
2021/3/20,無資料,無資料,無資料,0,0,無資料,無資料
2021/3/19,無資料,無資料,無資料,0,0,無資料,無資料
2021/3/18,無資料,無資料,無資料,0,0,無資料,無資料
2021/3/17,無資料,無資料,無資料,0,0,無資料,無資料
2021/3/16,無資料,無資料,無資料,0,0,無資料,無資料
2021/3/15,無資料,無資料,無資料,0,0,無資料,無資料
2021/3/14,無資料,無資料,無資料,0,0,無資料,無資料
2021/3/13,無資料,無資料,無資料,0,0,無資料,無資料
2021/3/12,無資料,無資料,無資料,0,0,無資料,無資料
2021/3/11,無資料,無資料,無資料,0,0,無資料,無資料
2021/3/10,無資料,無資料,無資料,0,0,無資料,無資料
2021/3/9,無資料,無資料,無資料,0,0,無資料,無資料
2021/3/8,無資料,無資料,無資料,0,0,無資料,無資料
2021/3/7,無資料,無資料,無資料,0,0,無資料,無資料
2021/3/6,無資料,無資料,無資料,0,0,無資料,無資料
2021/3/5,無資料,無資料,無資料,0,0,無資料,無資料
2021/3/4,無資料,無資料,無資料,0,0,無資料,無資料
2021/3/3,無資料,無資料,無資料,0,0,無資料,無資料
2021/3/2,無資料,無資料,無資料,0,0,無資料,無資料
2021/3/1,無資料,無資料,無資料,0,0,無資料,無資料
2021/2/28,無資料,無資料,無資料,0,0,無資料,無資料
2021/2/27,無資料,無資料,無資料,0,0,無資料,無資料
2021/2/26,無資料,無資料,無資料,0,0,無資料,無資料
2021/2/25,無資料,無資料,無資料,0,0,無資料,無資料
2021/2/24,無資料,無資料,無資料,0,0,無資料,無資料
2021/2/23,無資料,無資料,無資料,0,0,無資料,無資料
2021/2/22,202101,2021/2/18 06:00,2021/2/22 00:00,0,0,無資料,無資料
2021/2/21,202101,2021/2/18 06:00,2021/2/22 00:00,0,0,無資料,無資料
2021/2/20,202101,2021/2/18 06:00,2021/2/22 00:00,0,0,無資料,無資料
2021/2/19,202101,2021/2/18 06:00,2021/2/22 00:00,0,0,無資料,無資料
2021/2/18,202101,2021/2/18 06:00,2021/2/22 00:00,0,0,無資料,無資料
2021/2/17,無資料,無資料,無資料,0,0,無資料,無資料
2021/2/16,無資料,無資料,無資料,0,0,無資料,無資料
2021/2/15,無資料,無資料,無資料,0,0,無資料,無資料
2021/2/14,無資料,無資料,無資料,0,0,無資料,無資料
2021/2/13,無資料,無資料,無資料,0,0,無資料,無資料
2021/2/12,無資料,無資料,無資料,0,0,無資料,無資料
2021/2/11,無資料,無資料,無資料,0,0,無資料,無資料
2021/2/10,無資料,無資料,無資料,0,0,無資料,無資料
2021/2/9,無資料,無資料,無資料,0,0,無資料,無資料
2021/2/8,無資料,無資料,無資料,0,0,無資料,無資料
2021/2/7,無資料,無資料,無資料,0,0,無資料,無資料
2021/2/6,無資料,無資料,無資料,0,0,無資料,無資料
2021/2/5,無資料,無資料,無資料,0,0,無資料,無資料
2021/2/4,無資料,無資料,無資料,0,0,無資料,無資料
2021/2/3,無資料,無資料,無資料,0,0,無資料,無資料
2021/2/2,無資料,無資料,無資料,0,0,無資料,無資料
2021/2/1,無資料,無資料,無資料,0,0,無資料,無資料
2021/1/31,無資料,無資料,無資料,0,0,無資料,無資料
2021/1/30,無資料,無資料,無資料,0,0,無資料,無資料
2021/1/29,無資料,無資料,無資料,0,0,無資料,無資料
2021/1/28,無資料,無資料,無資料,0,0,無資料,無資料
2021/1/27,無資料,無資料,無資料,0,0,無資料,無資料
2021/1/26,無資料,無資料,無資料,0,0,無資料,無資料
2021/1/25,無資料,無資料,無資料,0,0,無資料,無資料
2021/1/24,無資料,無資料,無資料,0,0,無資料,無資料
2021/1/23,無資料,無資料,無資料,0,0,無資料,無資料
2021/1/22,無資料,無資料,無資料,0,0,無資料,無資料
2021/1/21,無資料,無資料,無資料,0,0,無資料,無資料
2021/1/20,無資料,無資料,無資料,0,0,無資料,無資料
2021/1/19,無資料,無資料,無資料,0,0,無資料,無資料
2021/1/18,無資料,無資料,無資料,0,0,無資料,無資料
2021/1/17,無資料,無資料,無資料,0,0,無資料,無資料
2021/1/16,無資料,無資料,無資料,0,0,無資料,無資料
2021/1/15,無資料,無資料,無資料,0,0,無資料,無資料
2021/1/14,無資料,無資料,無資料,0,0,無資料,無資料
2021/1/13,無資料,無資料,無資料,0,0,無資料,無資料
2021/1/12,無資料,無資料,無資料,0,0,無資料,無資料
2021/1/11,無資料,無資料,無資料,0,0,無資料,無資料
2021/1/10,無資料,無資料,無資料,0,0,無資料,無資料
2021/1/9,無資料,無資料,無資料,0,0,無資料,無資料
2021/1/8,無資料,無資料,無資料,0,0,無資料,無資料
2021/1/7,無資料,無資料,無資料,0,0,無資料,無資料
2021/1/6,無資料,無資料,無資料,0,0,無資料,無資料
2021/1/5,無資料,無資料,無資料,0,0,無資料,無資料
2021/1/4,無資料,無資料,無資料,0,0,無資料,無資料
2021/1/3,無資料,無資料,無資料,0,0,無資料,無資料
2021/1/2,無資料,無資料,無資料,0,0,無資料,無資料
2021/1/1,無資料,無資料,無資料,0,0,無資料,無資料
2020/12/31,無資料,無資料,無資料,0,0,無資料,無資料
2020/12/30,無資料,無資料,無資料,0,0,無資料,無資料
2020/12/29,無資料,無資料,無資料,0,0,無資料,無資料
2020/12/28,無資料,無資料,無資料,0,0,無資料,無資料
2020/12/27,無資料,無資料,無資料,0,0,無資料,無資料
2020/12/26,無資料,無資料,無資料,0,0,無資料,無資料
2020/12/25,無資料,無資料,無資料,0,0,無資料,無資料
2020/12/24,無資料,無資料,無資料,0,0,無資料,無資料
2020/12/23,無資料,無資料,無資料,0,0,無資料,無資料
2020/12/22,無資料,無資料,無資料,0,0,無資料,無資料
2020/12/21,202023,2020/12/20 06:00,2020/12/21 06:00,0,0,無資料,無資料
2020/12/20,202023,2020/12/20 06:00,2020/12/21 06:00,0,0,無資料,無資料
2020/12/19,無資料,無資料,無資料,0,0,無資料,無資料
2020/12/18,無資料,無資料,無資料,0,0,無資料,無資料
2020/12/17,無資料,無資料,無資料,0,0,無資料,無資料
2020/12/16,無資料,無資料,無資料,0,0,無資料,無資料
2020/12/15,無資料,無資料,無資料,0,0,無資料,無資料
2020/12/14,無資料,無資料,無資料,0,0,無資料,無資料
2020/12/13,無資料,無資料,無資料,0,0,無資料,無資料
2020/12/12,無資料,無資料,無資料,0,0,無資料,無資料
2020/12/11,無資料,無資料,無資料,0,0,無資料,無資料
2020/12/10,無資料,無資料,無資料,0,0,無資料,無資料
2020/12/9,無資料,無資料,無資料,0,0,無資料,無資料
2020/12/8,無資料,無資料,無資料,0,0,無資料,無資料
2020/12/7,無資料,無資料,無資料,0,0,無資料,無資料
2020/12/6,無資料,無資料,無資料,0,0,無資料,無資料
2020/12/5,無資料,無資料,無資料,0,0,無資料,無資料
2020/12/4,無資料,無資料,無資料,0,0,無資料,無資料
2020/12/3,無資料,無資料,無資料,0,0,無資料,無資料
2020/12/2,無資料,無資料,無資料,0,0,無資料,無資料
2020/12/1,無資料,無資料,無資料,0,0,無資料,無資料
2020/11/30,無資料,無資料,無資料,0,0,無資料,無資料
2020/11/29,無資料,無資料,無資料,0,0,無資料,無資料
2020/11/28,無資料,無資料,無資料,0,0,無資料,無資料
2020/11/27,無資料,無資料,無資料,0,0,無資料,無資料
2020/11/26,無資料,無資料,無資料,0,0,無資料,無資料
2020/11/25,無資料,無資料,無資料,0,0,無資料,無資料
2020/11/24,無資料,無資料,無資料,0,0,無資料,無資料
2020/11/23,無資料,無資料,無資料,0,0,無資料,無資料
2020/11/22,無資料,無資料,無資料,0,0,無資料,無資料
2020/11/21,無資料,無資料,無資料,0,0,無資料,無資料
2020/11/20,無資料,無資料,無資料,0,0,無資料,無資料
2020/11/19,無資料,無資料,無資料,0,0,無資料,無資料
2020/11/18,無資料,無資料,無資料,0,0,無資料,無資料
2020/11/17,無資料,無資料,無資料,0,0,無資料,無資料
2020/11/16,無資料,無資料,無資料,0,0,無資料,無資料
2020/11/15,202022,2020/11/9 06:00,2020/11/15 18:00,0,0,無資料,無資料
2020/11/14,202022,2020/11/9 06:00,2020/11/15 18:00,0,0,無資料,無資料
2020/11/13,202022,2020/11/9 06:00,2020/11/15 18:00,0,0,無資料,無資料
2020/11/12,202022,2020/11/9 06:00,2020/11/15 18:00,0,0,無資料,無資料
2020/11/11,202022,2020/11/9 06:00,2020/11/15 18:00,0,0,無資料,無資料
2020/11/10,202022,2020/11/9 06:00,2020/11/15 18:00,0,0,無資料,無資料
2020/11/9,202021,2020/11/8 18:00,2020/11/10 12:00,0,0,無資料,無資料
2020/11/8,202021,2020/11/8 18:00,2020/11/10 12:00,0,0,無資料,無資料
2020/11/7,202020,2020/10/29 12:00,2020/11/7 12:00,1,1,輕度,5
2020/11/6,202020,2020/10/29 12:00,2020/11/7 12:00,1,1,輕度,5
2020/11/5,202020,2020/10/29 12:00,2020/11/7 12:00,1,1,輕度,5
2020/11/4,202020,2020/10/29 12:00,2020/11/7 12:00,1,1,輕度,5
2020/11/3,202020,2020/10/29 12:00,2020/11/7 12:00,1,1,輕度,5
2020/11/2,202020,2020/10/29 12:00,2020/11/7 12:00,1,1,輕度,5
2020/11/1,202019,2020/10/28 18:00,2020/11/5 18:00,0,0,無資料,無資料
2020/10/31,202019,2020/10/28 18:00,2020/11/5 18:00,0,0,無資料,無資料
2020/10/30,202019,2020/10/28 18:00,2020/11/5 18:00,0,0,無資料,無資料
2020/10/29,202019,2020/10/28 18:00,2020/11/5 18:00,0,0,無資料,無資料
2020/10/28,202019,2020/10/28 18:00,2020/11/5 18:00,0,0,無資料,無資料
2020/10/27,202018,2020/10/24 18:00,2020/10/28 18:00,0,0,無資料,無資料
2020/10/26,202018,2020/10/24 18:00,2020/10/28 18:00,0,0,無資料,無資料
2020/10/25,202017,2020/10/20 00:00,2020/10/25 18:00,0,0,無資料,無資料
2020/10/24,202017,2020/10/20 00:00,2020/10/25 18:00,0,0,無資料,無資料
2020/10/23,202017,2020/10/20 00:00,2020/10/25 18:00,0,0,無資料,無資料
2020/10/22,202017,2020/10/20 00:00,2020/10/25 18:00,0,0,無資料,無資料
2020/10/21,202017,2020/10/20 00:00,2020/10/25 18:00,0,0,無資料,無資料
2020/10/20,202017,2020/10/20 00:00,2020/10/25 18:00,0,0,無資料,無資料
2020/10/19,無資料,無資料,無資料,0,0,無資料,無資料
2020/10/18,無資料,無資料,無資料,0,0,無資料,無資料
2020/10/17,無資料,無資料,無資料,0,0,無資料,無資料
2020/10/16,無資料,無資料,無資料,0,0,無資料,無資料
2020/10/15,無資料,無資料,無資料,0,0,無資料,無資料
2020/10/14,202016,2020/10/12 06:00,2020/10/14 18:00,0,0,無資料,無資料
2020/10/13,202016,2020/10/12 06:00,2020/10/14 18:00,0,0,無資料,無資料
2020/10/12,202016,2020/10/12 06:00,2020/10/14 18:00,0,0,無資料,無資料
2020/10/11,202015,2020/10/10 18:00,2020/10/12 00:00,0,0,無資料,無資料
2020/10/10,202015,2020/10/10 18:00,2020/10/12 00:00,0,0,無資料,無資料
