»ä­·½s¸¹,¦~¥÷,»ä­·¦WºÙ(¤¤),»ä­·¦WºÙ(­^),»ä­·¥Í¦¨®É¶¡,»ä­·®ø´²®É¶¡,»ä­·¥Í©R´Á¶¡¤¤¤ß³Ì§C®ðÀ£(hPa),»ä­·¥Í©R´Á¶¡¤¤¤ß³Ì¤j­·³t(m/s),»ä­·¥Í©R´Á¶¡³Ì¤j7¯Å­·¼É­·¥b®|(km),»ä­·¥Í©R´Á¶¡³Ì¤j10¯Å­·¼É­·¥b®|(km),Äµ³øµo¥¬³ø¼Æ
202101,2021,§ùÃY,DUJUAN,2021/2/18 06:00,2021/2/22 00:00,990,23,80,---,---
202023,2020,¬ìÃ¹©ô,KROVANH,2020/12/20 06:00,2020/12/21 06:00,1000,18,80,---,---
202022,2020,±ë°ª,VAMCO,2020/11/9 06:00,2020/11/15 18:00,945,43,200,70,---
202021,2020,¦ã³³,ETAU,2020/11/8 18:00,2020/11/10 12:00,990,23,80,---,---
202020,2020,°{¹q,ATSANI,2020/10/29 12:00,2020/11/7 12:00,982,28,120,---,19
202019,2020,¤ÑÃZ,GONI,2020/10/28 18:00,2020/11/5 18:00,888,65,200,80,---
202018,2020,²ö©Ôµá,MOLAVE,2020/10/24 18:00,2020/10/28 18:00,940,45,250,80,---
202017,2020,¨F¼wº¸,SAUDEL,2020/10/20 00:00,2020/10/25 18:00,955,40,200,70,---
202016,2020,«n¥d,NANGKA,2020/10/12 06:00,2020/10/14 18:00,990,23,100,---,---
202015,2020,½¬ªá,LINFA,2020/10/10 18:00,2020/10/12 00:00,998,18,100,---,---
202014,2020,©÷ÂE,CHAN-HOM,2020/10/5 00:00,2020/10/11 18:00,965,35,200,80,---
202013,2020,ÄH³½,KUJIRA,2020/9/27 00:00,2020/9/30 06:00,975,30,150,50,---
202012,2020,¥Õ®ü³b,DOLPHIN,2020/9/21 06:00,2020/9/24 06:00,980,28,120,---,---
202011,2020,¬õÁø,NOUL,2020/9/15 18:00,2020/9/19 00:00,990,23,120,---,---
202010,2020,®ü¯«,HAISHEN,2020/9/1 12:00,2020/9/7 18:00,920,53,300,120,---
202009,2020,±ö²ï,MAYSAK,2020/8/28 06:00,2020/9/3 06:00,935,48,250,100,---
202008,2020,¤Ú«Â,BAVI,2020/8/22 00:00,2020/8/27 12:00,945,43,220,80,6
202007,2020,µLªáªG,HIGOS,2020/8/18 00:00,2020/8/19 18:00,982,28,80,---,---
202006,2020,¦Ì§J©Ô,MEKKHALA,2020/8/10 00:00,2020/8/11 12:00,992,23,120,---,11
