»ä­·½s¸¹,¦~¥÷,»ä­·¦WºÙ(¤¤),»ä­·¦WºÙ(­^)
202101,2021,§ùÃY,DUJUAN
202023,2020,¬ìÃ¹©ô,KROVANH
202022,2020,±ë°ª,VAMCO
202021,2020,¦ã³³,ETAU
202020,2020,°{¹q,ATSANI
202019,2020,¤ÑÃZ,GONI
202018,2020,²ö©Ôµá,MOLAVE
202017,2020,¨F¼wº¸,SAUDEL
202016,2020,«n¥d,NANGKA
202015,2020,½¬ªá,LINFA
202014,2020,©÷ÂE,CHAN-HOM
202013,2020,ÄH³½,KUJIRA
202012,2020,¥Õ®ü³b,DOLPHIN
202011,2020,¬õÁø,NOUL
202010,2020,®ü¯«,HAISHEN
202009,2020,±ö²ï,MAYSAK
202008,2020,¤Ú«Â,BAVI
202007,2020,µLªáªG,HIGOS
202006,2020,¦Ì§J©Ô,MEKKHALA
202005,2020,Á¥»e,JANGMI
202004,2020,«¢®æ¤ñ,HAGUPIT
202003,2020,¨¯¼Ö§J,SINLAKU
202002,2020,ÆxÄM,NURI
202001,2020,¶À¸Á,VONGFONG
201929,2019,¤Ú³{,PHANFONE
201928,2019,¥_°Ã,KAMMURI
201927,2019,»ñ°Ä,FUNG-WONG
201926,2019,®üÅÃ,KALMAEGI
201925,2019,­·¯«,FENGSHEN
201924,2019,®R§J²ú,NAKRI
201923,2019,«¢¶©,HALONG
201922,2019,³Á¼w©i,MATMO
201921,2019,³ÕÃ¹¨Ì,BUALOI
201920,2019,ÒFºµ,NEOGURI
201919,2019,«¢¦N¨©,HAGIBIS
201918,2019,¦Ì¶ð,MITAG
201917,2019,¶ð¤Ú,TAPAH
201916,2019,µ\µ],PEIPAH
201915,2019,ªk¦è,FAXAI
201914,2019,¼C³½,KAJIKI
201913,2019,¬Â¬Â,LINGLING
201912,2019,·¨¬h,PODUL
201911,2019,¥Õ³À,BAILU
201910,2019,¬_Ã¹²ï,KROSA
201909,2019,§Q©_°¨,LEKIMA
201908,2019,­S´µ°ª,FRANCISCO
201907,2019,Á¨©¬,WIPHA
201906,2019,¦Ê¦X,NARI
201905,2019,¤¦®Rµ·,DANAS
201904,2019,¤ì®¦,MUN
201903,2019,¸t©¬,SEPAT
201902,2019,½¹½º,WUTIP
201901,2019,©¬¥¬,PABUK
201829,2018,¤Ñ¨ß,USAGI
201828,2018,¸U©y,MAN-YI
201827,2018,®Ü±ð,TORAJI
201826,2018,¥É¨ß,YUTU
201825,2018,±dÍº,KONG-REY
201824,2018,¼æ¬ü,TRAMI
201823,2018,¦Ê¨½¹Å,BARIJAT
201822,2018,¤s¦Ë,MANGKHUT
201821,2018,¿P¤l,JEBI
201820,2018,¦è°¨¶©,CIMARON
201819,2018,Ä¬¤O,SOULIK
201818,2018,´ÄÃq,RUMBIA
201817,2018,»®§J¯S,HECTOR
201816,2018,¨©ºÑ¨Î,BEBINCA
201815,2018,ÄRµ\,LEEPI
201814,2018,¼¯½~,YAGI
201813,2018,¬À¬À,SHANSHAN
201812,2018,¶³³¶,JONGDARI
201811,2018,®©ªÅ,WUKONG
201810,2018,¦w¤ñ,AMPIL
201809,2018,¤s¯«,SON-TINH
201808,2018,º¿²ú¨È,MARIA
201807,2018,¤Ú¤ñ¨Ú,PRAPIROON
201806,2018,³Í¦Ì,GAEMI
201805,2018,°¨¤O´µ,MALIKSI
201804,2018,¦ãºû¥§,EWINIAR
201803,2018,ÃU³½,JELAWAT
201802,2018,¤T¤Ú,SANBA
201801,2018,¥¬©Ô¸U,BOLAVEN
201727,2017,¤Ñ¯¯,TEMBIN
201726,2017,±Ò¼w,KAI-TAK
201725,2017,ÂE¶­,KIROGI
201724,2017,®ü¸ª,HAIKUI
201723,2017,¤¦·ç,DAMREY
201722,2017,Ä¬©Ô,SAOLA
201721,2017,Äõ®¦,LAN
201720,2017,¥d§V,KHANUN
201719,2017,§ùÄ¬Íº,DOKSURI
201718,2017,®õ§Q,TALIM
201717,2017,¨¦¶W,GUCHOL
201716,2017,º¿«½,MAWAR
201715,2017,¬À·ä,SANVU
201714,2017,©¬¥d,PAKHAR
201713,2017,¤ÑÂF,HATO
201712,2017,º_¾ð,BANYAN
201711,2017,©`®æ,NALGAE
201710,2017,®ü´Å,HAITANG
201709,2017,¥§²ï,NESAT
201708,2017,®á¥d,SONCA
201707,2017,¬¥§J,ROKE
201706,2017,®w©Ô,KULAP
201705,2017,¿Õ¿c,NORU
201704,2017,¶ð©Ô´µ,TALAS
201703,2017,«nº¿³£,NANMADOL
201702,2017,²ö¬f,MERBOK
201701,2017,±öªá,MUIFA
201626,2016,¯Ç©Z,NOCK-TEN
201625,2016,ÃÈªê,TOKAGE
201624,2016,°¨¾b,MA-ON
201623,2016,¦Ì¹p,MEARI
201622,2016,®ü°¨,HAIMA
201621,2016,²ï²ú¨Î,SARIKA
201620,2016,®á¹F,SONGDA
201619,2016,¦ã§Q,AERE
201618,2016,ªÜ»T,CHABA
201617,2016,±ö®V,MEGI
201616,2016,°¨°Ç¥d,MALAKAS
201615,2016,¹p¥ì,RAI
201614,2016,²öÄõ¸¦,MERANTI
201613,2016,º¿·ê,MALOU
201612,2016,«n­×,NAMTHEUN
201611,2016,¶ê³W,KOMPASU
201610,2016,·à¤l¤s,LIONROCK
201609,2016,»Z¤½­^ ,MINDULLE
201608,2016,¹q¥À,DIANMU
201607,2016,Àö¾ð,CHANTHU
201606,2016,±d´Ë,CONSON
201605,2016,¶ø³Á´µ,OMAIS
201604,2016,©gÌH,NIDA
201603,2016,»Èªe,MIRINAE
201602,2016,¿cºÑ,LUPIT
201601,2016,¥§§B¯S,NEPARTAK
201527,2015,­[²ú,MELOR
201526,2015,?ªá,IN-FA
201525,2015,Á¥µ\,CHAMPI
201524,2015,¥¨Àï,KOPPU
201523,2015,±m¶³,CHOI-WAN
201522,2015,±m­i,MUJIGAE
201521,2015,§ùÃY,DUJUAN
201520,2015,¬ìÃ¹©ô,KROVANH
201519,2015,±ë°ª,VAMCO
201518,2015,¦ã³³,ETAU
201517,2015,©_Ã¹,KILO
201516,2015,°{¹q,ATSANI
201515,2015,¤ÑÃZ,GONI
201514,2015,²ö©Ôµá,MOLAVE
201513,2015,Ä¬­}°Ç,SOUDELOR
201512,2015,«¢¬¥©Ô,HALOLA
201511,2015,«n¥d,NANGKA
201510,2015,½¬ªá,LINFA
201509,2015,©÷ÂE,CHAN-HOM
201508,2015,ÄH³½,KUJIRA
201507,2015,¥Õ®ü³b,DOLPHIN
201506,2015,¬õÁø,NOUL
201505,2015,®ü¯«,HAISHEN
201504,2015,±ö¨F,MAYSAK
201503,2015,¤Ú«Â,BAVI
201502,2015,µLªáªG,HIGOS
201501,2015,¦Ì§J©Ô,MEKKHALA
201423,2014,Á¥»e,JANGMI
201422,2014,«¢®æ¤ñ,HAGUPIT
201421,2014,¨¯¼Ö§J,SINLAKU
201420,2014,ÆxÄM,NURI
201419,2014,¶À¸Á,VONGFONG
201418,2014,¤Ú³{,PHANFONE
201417,2014,¥_°Ã,KAMMURI
201416,2014,»ñ°Ä,FUNG-WONG
201415,2014,®üÅÃ,KALMAEGI
201414,2014,­·¯«,FENGSHEN
201413,2014,ª÷®RÁ¨,GENEVIEVE
201412,2014,®R§J²ú,NAKRI
201411,2014,«¢¶©,HALONG
201410,2014,³Á¼w©i,MATMO
201409,2014,¹p°¨»¹,RAMMASUN
201408,2014,ÒFºµ,NEOGURI
201407,2014,«¢¦N¨©,HAGIBIS
201406,2014,¦Ì¶ð,MITAG
201405,2014,¶ð¤Ú,TAPAH
201404,2014,µ\µ],PEIPAH
201403,2014,ªk¦è,FAXAI
201402,2014,¼C³½,KAJIKI
201401,2014,¬Â¬Â,LINGLING
201331,2013,·¨¬h,PODUL
201330,2013,®ü¿P,HAIYAN
201329,2013,¬ìÃ¹²ï,KROSA
201328,2013,§Q©_°¨,LEKIMA
201327,2013,­S´µ°ª,FRANCISCO
201326,2013,Á¨©¬,WIPHA
201325,2013,¦Ê¦X,NARI
201324,2013,¤¦®Rµ·,DANAS
201323,2013,µá¯S,FITOW
201322,2013,¸t©¬,SEPAT
201321,2013,½¹½º,WUTIP
201320,2013,©¬¥¬,PABUK
201319,2013,¤Ñ¨ß,USAGI
201318,2013,¸U©y,MAN-YI
201317,2013,®Ü±ð,TORAJI
201316,2013,¥É¨ß,YUTU
201315,2013,±dÍº,KONG-REY
201314,2013,¤×®R©Ô,UNALA
201313,2013,¥Ö¥Ë,PEWA
201312,2013,¼æ¬ü ,TRAMI 
201311,2013,¤×¯S ,UTOR 
201310,2013,¤s¦Ë,MANGKHUT 
201309,2013,¿P¤l,JEBI 
201308,2013,¦è°¨¶© ,CIMARON
201307,2013,Ä¬¤O,SOULIK 
201306,2013,­Û¤ñ¨È ,RUMBIA 
201305,2013,¨©ºÑ¨Î,BEBINCA
201304,2013,ÄRµ],LEEPI
201303,2013,¶®¦N,YAGI
201302,2013,¬À¬À,SHANSHAN
201301,2013,Ä¬¯Ç©i,SONAMU
201225,2012,®©ªÅ,WUKONG
201224,2012,Ä_µo,BOPHA
201223,2012,¤s§Ê,SON-TINH
201222,2012,º¿²ú¨È,MARIA
201221,2012,¤Ú¤ñ¨Ú,PRAPIROON
201220,2012,³Í¦Ì,GAEMI
201219,2012,°¨¤O´µ,MALIKSI
201218,2012,¦ãºû¥§,EWINIAR
201217,2012,ªN©ÔµØ,JELAWAT
201216,2012,¤T¤Ú,SANBA
201215,2012,¥¬©Ô¸U,BOLAVEN
201214,2012,¤Ñ¯¯,TEMBIN
201213,2012,±Ò¼w,KAI-TAK
201212,2012,©_¬¥°ò,KIROGI
201211,2012,®ü¸ª,HAIKUI
201210,2012,¤¦·ç,DAMREY
201209,2012,Ä¬©Ô,SAOLA
201208,2012,­³´Ë¯S,VICENTE
201207,2012,¥d§V,KHANUN
201206,2012,§ùÄ¬Íº,DOKSURI
201205,2012,®õ§Q,TALIM
201204,2012,¨¦¶W,GUCHOL
201203,2012,º¿«½,MAWAR
201202,2012,¬À·ä,SANVU
201201,2012,©¬¥d,PAKHAR
201121,2011,¥Ë¦è,WASHI
201120,2011,¯Z«Û,BANYAN
201119,2011,©`®æ,NALGAE
201118,2011,®ü´Å,HAITANG
201117,2011,¥§²ï,NESAT
201116,2011,®á¥d,SONCA
201115,2011,¬¥§J,ROKE
201114,2011,®w©Ô,KULAP 
201113,2011,¿Õ¿c,NORU  
201112,2011, ¶ð©Ô´µ,TALAS
201111,2011,«nº¿³£,NANMADOL 
201110,2011,²ö¬f,MERBOK
201109,2011,±öªá,MUIFA
201108,2011,¯Ç©Z,NOCK-TEN  
201107,2011,³³¥d°ò,TOKAGE
201106,2011,°¨¾b,MA-ON 
201105,2011,¦Ì¹p,MEARI
201104,2011,®ü°¨,HAIMA 
201103,2011,²ï²ú¨Î,SARIKA
201102,2011,®á¹F,SONGDA
201101,2011,¦ã§Q,AERE
201014,2010,¨ÎªÝ,CHABA
201013,2010,±ö®V,MEGI
201012,2010,°¨°Ç¥d,MALAKAS 
201011,2010,¤Z¨º¤ñ,FANAPI 
201010,2010,²öÄõ¸¦,MERANTI
201009,2010,º¿·ê,MALOU
201008,2010,«n­×,NAMTHEUN
201007,2010,±d§B´µ,KOMPASU
201006,2010,µÜÃ¹§J,LIONROCK
201005,2010,±Ó·þ§Q,MINDULLE
201004,2010,¹q¥À,DIANMU
201003,2010,Àö¾ð,CHANTHU
201002,2010,±d´Ë,CONSON
201001,2010,¶ø³Á´µ,OMAIS
200922,2009,©gÌH,NIDA
200921,2009,¦Ì·ç¤º,MIRINAE
200920,2009,¿cºÑ,LUPIT
200919,2009,¥§§B¯S,NEPARTAK
200918,2009,¦Ì°Ç,MELOR
200917,2009,ªÝº¿,PARMA
200916,2009,³Í²ï®R,KETSANA
200915,2009,¬_´¶,KOPPU
200914,2009,±m¶³,CHOI-WAN  
200913,2009,²ö¦Nµ¹,MUJIGAE
200912,2009,§ùÃY,DUJUAN
200911,2009,¬ìÃ¹©ô,KROVANH
200910,2009,±ë°ª,VAMCO
200909,2009,¦ã³³,ETAU
200908,2009,²ö©Ô§J,MORAKOT
200907,2009,¬_¥§,GONI
200906,2009,²ö©Ôµá,MOLAVE 
200905,2009,Ä¬­}°Ç,SOUDELOR
200904,2009,«n¥d,NANGKA
200903,2009,½¬ªá,LINFA 
200902,2009,©÷ÂE, CHAN-HOM  
200901,2009,¬_¦N©Ô,KUJIRA  
200822,2008,¦hº¸ªâ,DOLPHIN  
200821,2008,¿Õº¸,NOUL
200820,2008,®ü¯«,HAISHEN
200819,2008,±ö²ï,MAYSAK
200818,2008,¤Ú«Â,BAVI
200817,2008,®ü°ª´µ,HIGOS 
200816,2008,¦Ì§J©Ô,MEKKHALA 
200815,2008,Á¥»e,JANGMI
200814,2008,«¢®æ¤ñ,HAGUPIT
200813,2008,¨¯¼Ö§J,SINLAKU 
200812,2008,¦pÄR,NURI 
200811,2008,¤ý®p,VONGFONG
200810,2008,¤Ú³{,PHANFONE
200809,2008,¥d²ö¨½,KAMMURI 
200808,2008,»ñ°Ä,FUNG-WONG
200807,2008,¥dª´°ò,KALMAEGI
200806,2008,­·¯«,FENGSHEN
200805,2008,®R§J²ú,NAKRI 
200804,2008, «¢¶©,HALONG
200803,2008,³Á¼w©i,MATMO
200802,2008,¹p°¨»¹,RAMMASUN
200801,2008,¿Õ¥j¤O,NEOGURI
200724,2007,«¢¦N¨©,HAGIBIS
200723,2007,¦Ì¶ð,MITAG
200722,2007,¶ð¤Ú,TAPAH 
200721,2007,µ\µ],PEIPAH 
200720,2007,ªk¦è,FAXAI  
200719,2007,¥dªN©_,KAJIKI 
200718,2007,¬Â¬Â,LINGLING
200717,2007,´¶³£,PODUL
200716,2007,®ü¿P,HAIYAN
200715,2007,¬_Ã¹²ï,KROSA 
200714,2007,§Q©_°¨, LEKIMA  
200713,2007,­S´µ°ª,FRANCISCO
200712,2007,­³©¬,WIPHA 
200711,2007,¯Ç²ú,NARI 
200710,2007,¤¦®Rµ·, DANAS  
200709,2007,µá¯S,FITOW 
200708,2007,¸t©¬,SEPAT  
200707,2007,±ï´£,WUTIP 
200706,2007,©¬¥¬,PABUK 
200705,2007,¯Q²ï¦N,USAGI
200704,2007, ¸U©y ,MAN-YI  
200703,2007,®çªÛ,TORAJI  
200702,2007,¥É¨ß,YUTU
200701,2007,±d·ç,KONG-REY
200623,2006,¼æ¬ü,TRAMI
200622,2006,¤×¯S ,UTOR 
200621,2006,ºhåÑ ,DURIAN 
200620,2006,©_¤ñ ,CHEBI
200619,2006,¦è°¨¶©,CIMARON
200618,2006,Ä¬¤O ,SOULIK
200617,2006,­Û¤ñ¨È,RUMBIA
200616,2006,¨©ºÑ¨Î,BEBINCA
200615,2006,¶H¯«,XANGSANE 
200614,2006,¶®¦N,YAGI  
200613,2006,¬À¬À,SHANSHAN
200612,2006,¥ì¼Ú¨Î,IOKE
200611,2006,Ä¬¯Ç©i ,SONAMU
200610,2006,®©ªÅ,WUKONG 
200609,2006,Ä_µo,BOPHA
200608,2006,®á¬ü,SAOMAI 
200607,2006,º¿²ú¨È,MARIA
200606,2006,¤Ú¤ñ¨Ú,PRAPIROON
200605,2006,³Í¦Ì,KAEMI
200604,2006,ºÑ§Q´µ,BILIS
200603,2006,¦ãºû¥§,EWINIAR
200602,2006,ªN©ÔµØ,JELAWAT
200601,2006,¬Ã¯],CHANCHU
200523,2005,¥¬©Ô¸U,BOLAVEN
200522,2005,¤Ñ¯¯,TEMBIN
200521,2005,±Ò¼w,KAI-TAK
200520,2005,©_¬¥°ò,KIROGI
200519,2005,Às¤ý,LONGWANG
200518,2005,¤¦·ç,DAMREY
200517,2005,Ä¬©Ô,SAOLA
200516,2005,­³´Ë¯S,VICENTE
200515,2005,¥d§V,KHANUN
200514,2005,®R¤ñ,NABI
200513,2005,®õ§Q,TALIM
200512,2005,¨¦¶W,GUCHOL
200511,2005,º¿«½,MAWAR
200510,2005,¬À·ä,SANVU
200509,2005,°¨²ï,MATSA
200508,2005,¥Ë¦è,WASHI
200507,2005,¯Z«Û,BANYAN
200506,2005,©`®æ,NALGAE
200505,2005,®ü´Å,HAITANG
200504,2005,¥§²ï,NESAT
200503,2005,®á¥d,SONCA
200502,2005,¬¥§J,ROKE
200501,2005,®w©Ô,KULAP
200429,2004,¿Õ¿c,NORU
200428,2004,¶ð©Ô´µ,TALAS
200427,2004,«nº¿³£,NANMADOL
200426,2004,²ö¬f,MERBOK
200425,2004,±öªá,MUIFA
200424,2004,¯Ç©Z,NOCK-TEN
200423,2004,³³¥d°ò,TOKAGE
200422,2004,°¨¾b,MA-ON
200421,2004,¦Ì¹p,MEARI
200420,2004,®ü°¨,HAIMA
200419,2004,²ï²ú¨Î,SARIKA
200418,2004,®á¹F,SONGDA
200417,2004,¦ã§Q,AERE
200416,2004,¨ÎªÝ,CHABA
200415,2004,±ö®V,MEGI
200414,2004,°¨°Ç¥d,MALAKAS
200413,2004,Äõ¹ç,RANANIM
200412,2004,²öÄõ¸¦,MERANTI
200411,2004,º¿·ê,MALOU
200410,2004,«n­×,NAMTHEUN
200409,2004,±d¬f´µ,KOMPASU
200408,2004,´@´@,TINGTING
200407,2004,±Ó·þ§Q,MINDULLE
200406,2004,¹q¥À,DIANMU
200405,2004,Àö¾ð,CHANTHU
200404,2004,±d´Ë,CONSON
200403,2004,¶ø³Á´µ,OMAIS
200402,2004,©gÌH,NIDA
200401,2004,µÎ¹F,SUDAL
200321,2003,¿cºÑ,LUPIT
200320,2003,¥§§B¯S,NEPARTAK
200319,2003,¦Ì°Ç,MELOR
200318,2003,ªÝº¿,PARMA
200317,2003,³Í²ï®R,KETSANA
200316,2003,¬ì´¶,KOPPU
200315,2003,±m¶³,CHOI-WAN
200314,2003,±ö¦Ì,MAEMI
200313,2003,§ùÃY,DUJUAN
200312,2003,¬ìÃ¹©ô,KROVANH
200311,2003,±ë°ª,VAMCO
200310,2003,¦ã³³,ETAU
200309,2003,²ö©Ô§J,MORAKOT
200308,2003,¬_¥§,KONI
200307,2003,¤¨¥¬³£,IMBUDO
200306,2003,Ä¬­}°Ç,SOUDELOR
200305,2003,«n¥d,NANGKA
200304,2003,½¬ªá,LINFA
200303,2003,©÷ÂE,CHAN-HOM
200302,2003,¬_¦N©Ô,KUJIRA
200301,2003,§°§°,YANYAN
200226,2002,´^±ô®R,PONGSONA
200225,2002,®ü¯«,HAISHEN
200224,2002,­×±F,HUKO
200223,2002,±ö²ï,MAYSAK
200222,2002,¤Ú«Â,BAVI
200221,2002,®ü°ª´µ,HIGOS
200220,2002,¦Ì§J©Ô,MEKKHALA
200219,2002,Á¥»e,CHANGMI
200218,2002,«¢®æ¤ñ,HAGUPIT
200217,2002,¥ì§Q,ELE
200216,2002,¨¯¼Ö§J,SINLAKU
200215,2002,ÅS²ï,RUSA
200214,2002,¤ý®p,VONGFONG
200213,2002,¤Ú³{,PHANFONE
200212,2002,¥d²ö¨½,KAMMURI
200211,2002,»ñ°Ä,FUNG-WONG
200210,2002,¥dª´°ò,KALMAEGI
200209,2002,­·¯«,FENGSHEN
200208,2002,®R§J²ú,NAKRI
200207,2002,«¢¶©,HALONG
200206,2002,¬d¯S¦w,CHATAAN
200205,2002,¹p°¨»¹,RAMMASUN
200204,2002,¿Õ¥j¤O,NOGURI
200203,2002,«¢¦N¨©,HAGIBIS
200202,2002,¦Ì¶ð,MITAG
200201,2002,¶ð¤Ú,TAPAH
200126,2001,µe¬Ü,VAMEI
200125,2001,ªk¦è,FAXAI
200124,2001,¥dªN©_,KAJIKI
200123,2001,¬Â¬Â,LINGLING
200122,2001,´¶³£,PODUL
200121,2001,®ü¿P,HAIYAN
200120,2001,¬_Ã¹²ï,KROSA
200119,2001,§Q©_°¨,LEKIMA
200118,2001,­S´µ°ª,FRANCISCO
200117,2001,­³©¬,VIPA
200116,2001,¯Ç²ú,NARI
200115,2001,¤¦®Rµ·,DANAS
200114,2001,µá¯S,FITOW
200113,2001,¸t©¬,SEPAT
200112,2001,±ï´£,WUTIP
200111,2001,©¬¥¬,PABUK
200110,2001,¯Q²ï¦N,USAGI
200109,2001,¸U©y,MAN-YI
200108,2001,®çªÛ,TORAJI
200107,2001,¥É¨ß,YUTU
200106,2001,±d·ç,KONG-REY
200105,2001,¼æ¬ü,TRAMI
200104,2001,¤×¯S,UTOR
200103,2001,ºhåÑ,DURIAN
200102,2001,©_¤ñ,CHEBI
200101,2001,¦è°¨¶©,CIMARON
200023,2000,Ä¬¤O,SOULIK
200022,2000,­Û¤ñ¨È,RUMBIA
200021,2000,¨©ºÑ¨Î,BEBINCA
200020,2000,¶H¯«,XANGSANE
200019,2000,¶®¦N,YAGI
200018,2000,¬À¬À,SHANSHAN
200017,2000,Ä¬¯Ç©i,SONAMU
200016,2000,®©ªÅ,WUKONG
200015,2000,Ä_µo,BOPHA
200014,2000,®á¬ü,SAOMAI
200013,2000,º¿²ú¨È,MARIA
200012,2000,¤Ú¤ñ¨Ú,PRAPIROON
200011,2000,³Í¦Ì,KAEMI
200010,2000,ºÑ§Q´µ,BILIS
200009,2000,¦ãºû¥§,EWINIAR
